Polluted element,Type of pollution,California_Berkeley,California_Los-Angeles,California_Reno,Nevada_Boulder City,Nevada_Las Vegas,Nevada_Malibu,Average
Air,,-4.99,-48.38,-34.54,6.88,3.46,-4.01,-13.60
,  Light,38.93,-4.33,-38.34,8.16,-82.22,79.79,0.33
,  Oxygen-depletion,-30.25,-71.82,30.47,6.35,45.49,-48.78,-11.42
,  Urban Activities,-23.65,-68.98,-95.76,6.13,47.12,-43.04,-29.70
Soil,,40.51,-67.63,-30.40,-2.81,-15.15,42.24,-5.54
,  Inferior Irrigation,97.97,-70.12,33.10,8.93,47.96,-47.53,11.72
,  Inorganic Fertilizers,-20.33,-65.91,-94.06,12.28,-78.28,90.61,-25.95
,  Thermal,43.90,-66.85,-30.25,-29.64,-15.13,83.63,-2.39
Water,,18.48,36.67,-10.81,8.82,-39.46,10.84,4.09
,  Chemical,99.64,56.31,32.44,7.50,42.86,81.54,53.38
,  Industrial,-21.09,56.90,-93.66,10.11,-79.12,-42.84,-28.28
,  Noise,-23.09,-3.20,28.77,8.86,-82.12,-6.20,-12.83
Average,,18.00,-26.44,-25.25,4.30,-17.05,16.36,-5.02
,  ,18.00,-26.44,-25.25,4.30,-17.05,16.36,-5.02
