Polluted element,Type of pollution,California_Los-Angeles,California_Salem,Oregon_Berkeley,Oregon_Malibu,Oregon_Portland
Air,,-12.31,-45.52,-32.45,-29.86,14.86
,  Noise,-61.23,-92.20,-79.85,-36.07,0.49
,  Oxygen-depletion,79.92,45.61,-70.84,-19.57,27.26
,  Urban Activities,-55.62,-89.98,53.34,-33.93,16.84
Soil,,36.33,-44.47,-32.43,14.04,-23.84
,  Inferior Irrigation,79.95,39.73,-75.87,96.93,21.34
,  Light,70.56,-91.65,47.04,-36.00,6.99
,  Noise,-41.53,-81.49,-68.47,-18.81,-99.86
Water,,37.29,-2.03,15.15,-26.25,23.49
,  Chemical,-49.40,-91.60,57.62,-30.47,22.47
,  Light,88.94,48.98,65.33,-14.13,35.42
,  Thermal,72.32,36.54,-77.49,-34.16,12.59
