State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Illinois,Champaign,Soil,Urban Activities,9.18
Illinois,Champaign,Water,Inferior Irrigation,15.25
Illinois,Champaign,Soil,Oxygen-depletion,19.45
Illinois,Champaign,Water,Groundwater,21.96
Georgia,Chicago,Soil,Urban Activities,-99.47
Georgia,Chicago,Water,Inferior Irrigation,33.17
Georgia,Chicago,Soil,Oxygen-depletion,34.76
Georgia,Chicago,Water,Groundwater,-93.63
Maryland,Columbus,Soil,Urban Activities,40.57
Maryland,Columbus,Water,Inferior Irrigation,50.34
Maryland,Columbus,Soil,Oxygen-depletion,-72.66
Maryland,Columbus,Water,Groundwater,57.09
Illinois,Washington,Soil,Urban Activities,60.91
Illinois,Washington,Water,Inferior Irrigation,-67.43
Illinois,Washington,Soil,Oxygen-depletion,70.68
Illinois,Washington,Water,Groundwater,74.23
Georgia,Columbia,Soil,Urban Activities,76.48
Georgia,Columbia,Water,Inferior Irrigation,-43.13
Georgia,Columbia,Soil,Oxygen-depletion,-42.06
Georgia,Columbia,Water,Groundwater,-36.96
Maryland,Aberdeen,Soil,Urban Activities,93.13
Maryland,Aberdeen,Water,Inferior Irrigation,98.49
Maryland,Aberdeen,Soil,Oxygen-depletion,-23.8
Maryland,Aberdeen,Water,Groundwater,-21.97
Illinois,Baltimore,Soil,Urban Activities,-4.9
Illinois,Baltimore,Water,Inferior Irrigation,-18.09
Illinois,Baltimore,Soil,Oxygen-depletion,-4.0
Illinois,Baltimore,Water,Groundwater,-3.44
