Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2016,Q4,Dairy,Cheese,774.11
Import,2016,Q4,Beverage,Yoghurt,902.77
Import,2016,Q4,Dairy,Soda,781.95
Import,2016,Q4,Beverage,Coffee,531.45
Import,2016,Q4,Dairy,Tea,20.8
Import,2016,Q4,Beverage,Cheese,286.3
Import,2022,Q4,Dairy,Cheese,291.33
Import,2022,Q4,Beverage,Yoghurt,677.12
Import,2022,Q4,Dairy,Soda,298.69
Import,2022,Q4,Beverage,Coffee,177.11
Import,2022,Q4,Dairy,Tea,691.08
Import,2022,Q4,Beverage,Cheese,58.63
Import,2016,Q4,Dairy,Cheese,711.08
Import,2016,Q4,Beverage,Yoghurt,585.26
Import,2016,Q4,Dairy,Soda,331.49
Import,2016,Q4,Beverage,Coffee,592.0
Import,2016,Q4,Dairy,Tea,87.12
Import,2016,Q4,Beverage,Cheese,731.18
Import,2022,Q4,Dairy,Cheese,608.66
Import,2022,Q4,Beverage,Yoghurt,865.37
Import,2022,Q4,Dairy,Soda,227.75
Import,2022,Q4,Beverage,Coffee,611.13
Import,2022,Q4,Dairy,Tea,867.08
Import,2022,Q4,Beverage,Cheese,486.52
