DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt
Average,,-79.40,47.37,10.14,22.61,-16.10,-45.09,70.94
,  ,-79.40,47.37,10.14,22.61,-16.10,-45.09,70.94
DDcjx,,-77.38,48.40,4.42,25.24,-13.13,-42.50,74.29
,  EEkqy,-83.35,43.52,98.88,12.99,-24.59,-60.92,64.68
,  EEqz,-68.86,52.50,-87.71,40.18,-2.45,-31.38,89.58
,  EEmz,-77.07,51.60,-91.95,32.02,-8.23,-33.52,74.77
,  EEdhv,-80.23,45.98,98.45,15.76,-17.27,-44.18,68.13
DDmx,,-81.69,46.55,24.95,19.22,-19.46,-47.92,68.08
,  EEqz,-82.12,45.89,99.40,14.84,-23.56,-52.73,65.88
,  EEmz,-88.33,41.87,92.10,-0.26,-31.10,-67.38,57.20
,  EEbkv,-76.94,51.01,-89.26,35.06,-6.02,-33.76,80.01
,  EEbhk,-79.36,47.43,-2.44,27.24,-17.15,-37.81,69.24
DDcy,,-79.14,47.17,1.04,23.38,-15.70,-44.86,70.45
,  EEkqy,-69.66,53.61,-89.42,39.81,-4.91,-32.94,85.93
,  EEbkv,-84.90,40.66,93.64,12.12,-28.15,-62.49,62.21
,  EEcrv,-83.91,45.75,98.20,14.55,-18.77,-48.56,64.18
,  EEmpy,-78.08,48.67,-98.25,27.04,-10.96,-35.46,69.47
