AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,640.66
AAdk,BBtw,CCst,DDnw,259.77
AAdk,BBtw,CCbx,DDrz,776.92
AAdk,BBtw,CChv,DDcl,11.59
AAdk,BBtw,CCst,DDlp,657.85
AAdk,BBtw,CCbx,DDcs,663.46
AAdk,BBtw,CChv,DDhm,542.78
AAdk,BBtw,CCst,DDdf,423.57
AAdk,BBtw,CCbx,DDnt,935.64
AAdk,BBrv,CChv,DDnt,808.5
AAdk,BBrv,CCst,DDnw,693.09
AAdk,BBrv,CCbx,DDrz,312.57
AAdk,BBrv,CChv,DDcl,828.79
AAdk,BBrv,CCst,DDlp,701.24
AAdk,BBrv,CCbx,DDcs,316.63
AAdk,BBrv,CChv,DDhm,705.04
AAdk,BBrv,CCst,DDdf,206.02
AAdk,BBrv,CCbx,DDnt,979.93
AAdk,BBtw,CChv,DDnt,984.11
AAdk,BBtw,CCst,DDnw,91.97
AAdk,BBtw,CCbx,DDrz,861.42
AAdk,BBtw,CChv,DDcl,620.55
AAdk,BBtw,CCst,DDlp,621.08
AAdk,BBtw,CCbx,DDcs,239.4
AAdk,BBtw,CChv,DDhm,498.25
AAdk,BBtw,CCst,DDdf,761.85
AAdk,BBtw,CCbx,DDnt,127.58
