CC,DD,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBgqt,AAmz_BBdhv,AAmz_BBbpv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,Minimum
CChpx,,71.94,39.93,21.35,72.98,61.97,81.21,49.03,6.55,6.55
,  DDkrs,73.91,47.11,30.77,72.98,69.73,97.15,57.54,18.61,18.61
,  DDlmr,71.94,39.93,21.35,98.87,61.97,81.21,49.56,6.55,6.55
,  DDcmp,73.53,42.99,25.59,98.44,62.71,87.79,49.03,11.32,11.32
CCbt,,67.43,37.62,19.46,96.24,58.17,68.02,47.13,1.81,1.81
,  DDbmz,70.53,43.51,23.98,98.23,67.19,68.02,54.66,12.94,12.94
,  DDmx,70.73,37.62,19.46,96.24,58.17,79.52,47.13,1.81,1.81
,  DDcwz,67.43,40.89,23.01,98.54,62.80,85.47,51.00,5.58,5.58
CCfnw,,71.20,38.41,18.16,70.51,58.80,80.44,49.92,5.63,5.63
,  DDkrs,71.20,38.41,18.16,99.27,58.80,80.44,49.92,5.63,5.63
,  DDmx,77.29,43.16,27.38,70.51,68.44,96.79,51.57,16.94,16.94
,  DDqz,73.43,40.98,23.33,99.04,63.15,86.53,52.99,9.92,9.92
