CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
CCbt,,63.57,3.43,79.98,30.94,,
,  DDhpt,68.84,15.62,87.98,51.84,EEhpx,FFgqt
,  DDmx,63.57,3.43,79.98,30.94,EEmz,FFgqt
,  DDmpy,74.63,18.13,98.51,55.05,EEmz,FFgqt
CCcy,,0.03,5.06,79.92,35.24,,
,  DDbkv,0.03,5.06,79.92,35.24,EEhpx,FFlmr
,  DDbmz,69.59,16.41,93.20,52.43,EEmz,FFlmr
,  DDhlt,75.84,28.16,98.23,56.53,EEhpx,FFlmr
CCkqy,,64.33,11.26,80.56,43.06,,
,  DDhk,76.23,30.89,99.25,55.16,EEmz,FFbpv
,  DDbsz,72.86,17.71,94.48,53.89,EEhpx,FFbpv
,  DDcwz,64.33,11.26,80.56,43.06,EEmz,FFbpv
