DD,EE,AArv_BBst_CCnw,AArv_BBst_CCdl,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,AAdk_BBtw_CCmx,Maximum
DDtv,,13.54,26.93,8.89,18.57,22.47,26.93
,  EEdn,13.54,26.93,8.89,18.23,6.94,26.93
,  EEmn,6.58,17.09,3.80,11.46,22.47,22.47
,  EElp,12.73,24.87,4.03,18.57,14.07,24.87
DDnt,,13.63,21.86,7.13,18.70,27.84,27.84
,  EEdn,8.53,12.27,3.78,12.97,27.84,27.84
,  EEfx,13.63,19.20,7.13,18.70,4.63,19.20
,  EEfh,11.68,21.86,3.02,17.61,8.34,21.86
Maximum,,13.63,26.93,8.89,18.70,27.84,27.84
,  ,13.63,26.93,8.89,18.70,27.84,27.84
