CC,DD,AAdk_BBmn,AAdk_BBdl,AAdk_BBtw,AAdn_BBrv,AAdn_BBpw,Minimum
CChv,,43.22,85.09,3.76,10.24,66.45,3.76
,  DDhm,58.53,87.09,9.43,29.01,81.54,9.43
,  DDnt,43.22,85.09,3.76,10.24,66.45,3.76
,  DDcl,51.98,88.57,6.24,22.22,72.50,6.24
CCst,,45.03,86.92,3.48,7.20,66.10,3.48
,  DDnw,45.03,86.92,3.48,7.20,66.10,3.48
,  DDnt,57.36,95.01,6.04,34.70,82.60,6.04
,  DDlp,53.94,89.75,8.46,23.59,72.93,8.46
CCbx,,49.50,87.86,6.80,22.07,66.52,6.80
,  DDnw,62.10,98.32,12.29,40.78,83.55,12.29
,  DDcs,57.68,90.01,9.95,28.29,79.82,9.95
,  DDrz,49.50,87.86,6.80,22.07,66.52,6.80
Minimum,,43.22,85.09,3.48,7.20,66.10,3.48
,  ,43.22,85.09,3.48,7.20,66.10,3.48
