AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,645.6
AAdk,BBtw,CCst,DDnw,773.26
AAdk,BBtw,CChv,DDrz,784.34
AAdk,BBtw,CCst,DDcl,21.48
AAdk,BBtw,CChv,DDlp,540.75
AAdk,BBtw,CCst,DDnt,679.34
AAdk,BBrv,CChv,DDnt,810.45
AAdk,BBrv,CCst,DDnw,178.2
AAdk,BBrv,CChv,DDrz,691.12
AAdk,BBrv,CCst,DDcl,308.49
AAdk,BBrv,CChv,DDlp,825.61
AAdk,BBrv,CCst,DDnt,59.39
AAdk,BBmn,CChv,DDnt,971.98
AAdk,BBmn,CCst,DDnw,593.84
AAdk,BBmn,CChv,DDrz,467.66
AAdk,BBmn,CCst,DDcl,340.69
AAdk,BBmn,CChv,DDlp,598.78
AAdk,BBmn,CCst,DDnt,475.27
AAdk,BBtw,CChv,DDnt,101.34
AAdk,BBtw,CCst,DDnw,105.8
AAdk,BBtw,CChv,DDrz,880.34
AAdk,BBtw,CCst,DDcl,115.27
AAdk,BBtw,CChv,DDlp,757.6
AAdk,BBtw,CCst,DDnt,118.16
