AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,905.62
AAdk,BBtw,CChv,DDtv,EEmn,522.88
AAdk,BBtw,CChv,DDnt,EEfh,10.73
AAdk,BBtw,CChv,DDtv,EElp,270.03
AAdk,BBtw,CChv,DDnt,EEfx,143.12
AAdk,BBtw,CChv,DDtv,EEdn,526.76
AAdk,BBst,CChv,DDnt,EEdn,531.71
AAdk,BBst,CChv,DDtv,EEmn,23.05
AAdk,BBst,CChv,DDnt,EEfh,668.1
AAdk,BBst,CChv,DDtv,EElp,287.88
AAdk,BBst,CChv,DDnt,EEfx,551.54
AAdk,BBst,CChv,DDtv,EEdn,40.52
AAdk,BBrz,CChv,DDnt,EEdn,680.4
AAdk,BBrz,CChv,DDtv,EEmn,680.57
AAdk,BBrz,CChv,DDnt,EEfh,811.6
AAdk,BBrz,CChv,DDtv,EElp,301.19
AAdk,BBrz,CChv,DDnt,EEfx,176.91
AAdk,BBrz,CChv,DDtv,EEdn,193.47
AAdk,BBtw,CChv,DDnt,EEdn,581.65
AAdk,BBtw,CChv,DDtv,EEmn,842.55
AAdk,BBtw,CChv,DDnt,EEfh,461.17
AAdk,BBtw,CChv,DDtv,EElp,978.3
AAdk,BBtw,CChv,DDnt,EEfx,467.13
AAdk,BBtw,CChv,DDtv,EEdn,340.3
AAdk,BBst,CChv,DDnt,EEdn,473.37
AAdk,BBst,CChv,DDtv,EEmn,89.38
AAdk,BBst,CChv,DDnt,EEfh,225.71
AAdk,BBst,CChv,DDtv,EElp,373.55
AAdk,BBst,CChv,DDnt,EEfx,248.4
AAdk,BBst,CChv,DDtv,EEdn,505.31
