AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,772.16
AAdk,BBtw,CCst,DDnw,647.9
AAdk,BBtw,CChv,DDrz,10.51
AAdk,BBtw,CCst,DDcl,34.36
AAdk,BBtw,CChv,DDlp,292.46
AAdk,BBtw,CCst,DDnt,438.89
AAdk,BBrv,CChv,DDnt,711.39
AAdk,BBrv,CCst,DDnw,840.86
AAdk,BBrv,CChv,DDrz,842.88
AAdk,BBrv,CCst,DDcl,78.01
AAdk,BBrv,CChv,DDlp,854.43
AAdk,BBrv,CCst,DDnt,856.26
AAdk,BBmn,CChv,DDnt,734.75
AAdk,BBmn,CCst,DDnw,866.28
AAdk,BBmn,CChv,DDrz,356.07
AAdk,BBmn,CCst,DDcl,874.31
AAdk,BBmn,CChv,DDlp,623.27
AAdk,BBmn,CCst,DDnt,112.29
AAdk,BBtw,CChv,DDnt,370.03
AAdk,BBtw,CCst,DDnw,627.32
AAdk,BBtw,CChv,DDrz,116.45
AAdk,BBtw,CCst,DDcl,756.26
AAdk,BBtw,CChv,DDlp,122.12
AAdk,BBtw,CCst,DDnt,251.42
