DD,EE,AArv_BBst_CCnw,AArv_BBsy_CCnw,AAdk_BBhz_CChv,AAdk_BBtw_CChv,AAdk_BBrz_CChv
DDnt,,-20.35,-21.70,64.84,11.60,-36.20
,  EEfx,49.76,77.00,98.90,10.65,-67.02
,  EEdn,-92.69,-58.48,82.73,0.30,-74.06
,  EEfh,39.26,-54.46,84.74,4.74,59.03
,  EEhl,-77.72,-50.84,-7.01,30.70,-62.74
DDtv,,-16.72,11.32,-26.21,16.76,29.14
,  EEhr,-78.19,-51.41,-9.28,18.09,-65.68
,  EElp,48.89,-53.78,-43.64,10.35,59.12
,  EEmn,-91.55,71.88,-45.18,3.60,54.61
,  EEdn,53.95,78.61,-6.75,35.01,68.53
Average,,-18.54,-5.18,19.31,14.18,-3.53
,  ,-18.54,-5.18,19.31,14.18,-3.53
