Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,140.41
AAdk,BBtw,CChv,DDtv,EEmn,782.4
AAdk,BBtw,CChv,DDnt,EEfh,654.28
AAdk,BBtw,CChv,DDtv,EElp,527.78
AAdk,BBtw,CChv,DDnt,EEfx,152.19
AAdk,BBtw,CChv,DDtv,EEhr,537.43
AAdk,BBst,CChv,DDnt,EEdn,420.86
AAdk,BBst,CChv,DDtv,EEmn,170.43
AAdk,BBst,CChv,DDnt,EEfh,173.13
AAdk,BBst,CChv,DDtv,EElp,560.86
AAdk,BBst,CChv,DDnt,EEfx,689.75
AAdk,BBst,CChv,DDtv,EEhr,178.29
AAdk,BBrz,CChv,DDnt,EEdn,692.35
AAdk,BBrz,CChv,DDtv,EEmn,698.38
AAdk,BBrz,CChv,DDnt,EEfh,699.54
AAdk,BBrz,CChv,DDtv,EElp,573.39
AAdk,BBrz,CChv,DDnt,EEfx,446.78
AAdk,BBrz,CChv,DDtv,EEhr,707.99
AAdk,BBtw,CChv,DDnt,EEdn,67.01
AAdk,BBtw,CChv,DDtv,EEmn,453.03
AAdk,BBtw,CChv,DDnt,EEfh,331.05
AAdk,BBtw,CChv,DDtv,EElp,975.92
AAdk,BBtw,CChv,DDnt,EEfx,208.93
AAdk,BBtw,CChv,DDtv,EEhr,81.95
AAdk,BBst,CChv,DDnt,EEdn,357.45
AAdk,BBst,CChv,DDtv,EEmn,741.68
AAdk,BBst,CChv,DDnt,EEfh,488.08
AAdk,BBst,CChv,DDtv,EElp,751.22
AAdk,BBst,CChv,DDnt,EEfx,368.52
AAdk,BBst,CChv,DDtv,EEhr,115.17
