Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,515.69
AAdk,BBtw,CChv,DDtv,EEmn,644.39
AAdk,BBtw,CChv,DDpw,EEfh,520.55
AAdk,BBtw,CChv,DDnt,EElp,779.25
AAdk,BBtw,CChv,DDtv,EEfx,912.36
AAdk,BBtw,CChv,DDpw,EEhr,925.43
AAdk,BBtw,CChv,DDnt,EEhl,32.68
AAdk,BBtw,CChv,DDtv,EEkz,165.63
AAdk,BBtw,CChv,DDpw,EEdn,679.61
AAdk,BBst,CChv,DDnt,EEdn,556.82
AAdk,BBst,CChv,DDtv,EEmn,438.86
AAdk,BBst,CChv,DDpw,EEfh,568.92
AAdk,BBst,CChv,DDnt,EElp,570.99
AAdk,BBst,CChv,DDtv,EEfx,187.31
AAdk,BBst,CChv,DDpw,EEhr,188.57
AAdk,BBst,CChv,DDnt,EEhl,319.87
AAdk,BBst,CChv,DDtv,EEkz,323.45
AAdk,BBst,CChv,DDpw,EEdn,708.08
AAdk,BBtw,CChv,DDnt,EEdn,837.69
AAdk,BBtw,CChv,DDtv,EEmn,709.0
AAdk,BBtw,CChv,DDpw,EEfh,70.67
AAdk,BBtw,CChv,DDnt,EElp,841.33
AAdk,BBtw,CChv,DDtv,EEfx,589.33
AAdk,BBtw,CChv,DDpw,EEhr,464.15
AAdk,BBtw,CChv,DDnt,EEhl,849.74
AAdk,BBtw,CChv,DDtv,EEkz,595.33
AAdk,BBtw,CChv,DDpw,EEdn,347.66
AAdk,BBst,CChv,DDnt,EEdn,348.62
AAdk,BBst,CChv,DDtv,EEmn,477.09
AAdk,BBst,CChv,DDpw,EEfh,482.38
AAdk,BBst,CChv,DDnt,EElp,872.01
AAdk,BBst,CChv,DDtv,EEfx,619.35
AAdk,BBst,CChv,DDpw,EEhr,379.61
AAdk,BBst,CChv,DDnt,EEhl,374.31
AAdk,BBst,CChv,DDtv,EEkz,250.29
AAdk,BBst,CChv,DDpw,EEdn,635.86
