CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv,Average
CCbt,DDbmz,20.59,97.36,-16.21,70.38,-50.97,44.81,-74.52,13.06
,DDcwz,10.20,88.53,-23.30,65.03,-57.54,36.89,-92.95,3.84
,DDmx,13.79,41.72,-22.08,62.44,-57.73,37.86,-83.40,-1.06
CCfnw,DDqz,11.55,91.06,-18.09,67.80,-57.08,37.90,-86.81,6.62
,DDkrs,15.44,-7.48,-18.93,68.25,-52.61,39.22,-81.64,-5.39
,DDgv,20.58,98.91,-11.74,69.38,-48.46,45.15,-72.89,14.42
CChpx,DDdlz,21.67,98.93,-9.95,70.11,-47.22,44.90,-69.99,15.49
,DDlmr,18.91,-6.33,-16.41,71.56,-49.91,42.10,-79.74,-2.83
,DDcmp,18.98,96.34,-17.65,69.93,-53.94,43.90,-81.52,10.86
Average,,16.86,66.56,-17.15,68.32,-52.83,41.41,-80.38,6.11
