AA,BB,CC,DD,Value
AA,BB,CC,DD,Value
AApqr,BBnqx,CCbt,DDmx,4.82
AApqr,BBnqx,CCfnw,DDkrs,6.41
AApqr,BBnqx,CChpx,DDlmr,9.38
AApqr,BBnqx,CCbt,DDcwz,9.06
AApqr,BBnqx,CCfnw,DDqz,11.46
AApqr,BBnqx,CChpx,DDcmp,11.43
AApqr,BBnqx,CCbt,DDbmz,10.92
AApqr,BBnqx,CCfnw,DDgv,15.65
AApqr,BBnqx,CChpx,DDdlz,19.22
AApqr,BBnqx,CCbt,DDmx,20.49
AApqr,BBnqx,CCfnw,DDkrs,23.24
AApqr,BBnqx,CChpx,DDlmr,27.13
AAmz,BBgqt,CCbt,DDmx,29.14
AAmz,BBgqt,CCfnw,DDkrs,36.64
AAmz,BBgqt,CChpx,DDlmr,39.71
AAmz,BBgqt,CCbt,DDcwz,43.13
AAmz,BBgqt,CCfnw,DDqz,48.52
AAmz,BBgqt,CChpx,DDcmp,49.4
AAmz,BBgqt,CCbt,DDbmz,51.6
AAmz,BBgqt,CCfnw,DDgv,58.11
AAmz,BBgqt,CChpx,DDdlz,60.77
AAmz,BBgqt,CCbt,DDmx,61.33
AAmz,BBgqt,CCfnw,DDkrs,60.47
AAmz,BBgqt,CChpx,DDlmr,63.3
AAcy,BBbkv,CCbt,DDmx,63.67
AAcy,BBbkv,CCfnw,DDkrs,65.2
AAcy,BBbkv,CChpx,DDlmr,69.32
AAcy,BBbkv,CCbt,DDcwz,71.45
AAcy,BBbkv,CCfnw,DDqz,77.57
AAcy,BBbkv,CChpx,DDcmp,77.12
AAcy,BBbkv,CCbt,DDbmz,79.22
AAcy,BBbkv,CCfnw,DDgv,79.96
AAcy,BBbkv,CChpx,DDdlz,82.92
AAcy,BBbkv,CCbt,DDmx,83.08
AAcy,BBbkv,CCfnw,DDkrs,84.9
AAcy,BBbkv,CChpx,DDlmr,84.68
AApqr,BBcjx,CCbt,DDmx,85.43
AApqr,BBcjx,CCfnw,DDkrs,87.28
AApqr,BBcjx,CChpx,DDlmr,88.35
AApqr,BBcjx,CCbt,DDcwz,89.87
AApqr,BBcjx,CCfnw,DDqz,90.67
AApqr,BBcjx,CChpx,DDcmp,91.67
AApqr,BBcjx,CCbt,DDbmz,92.8
AApqr,BBcjx,CCfnw,DDgv,84.85
AApqr,BBcjx,CChpx,DDdlz,94.22
AApqr,BBcjx,CCbt,DDmx,95.53
AApqr,BBcjx,CCfnw,DDkrs,96.34
AApqr,BBcjx,CChpx,DDlmr,98.76
AAmz,BBbpv,CCbt,DDmx,-8.27
AAmz,BBbpv,CCfnw,DDkrs,-8.19
AAmz,BBbpv,CChpx,DDlmr,-99.14
AAmz,BBbpv,CCbt,DDcwz,-98.61
AAmz,BBbpv,CCfnw,DDqz,-98.31
AAmz,BBbpv,CChpx,DDcmp,-98.0
AAmz,BBbpv,CCbt,DDbmz,82.31
AAmz,BBbpv,CCfnw,DDgv,-92.29
AAmz,BBbpv,CChpx,DDdlz,-91.06
AAmz,BBbpv,CCbt,DDmx,-87.28
AAmz,BBbpv,CCfnw,DDkrs,-85.98
AAmz,BBbpv,CChpx,DDlmr,-83.26
AAcy,BBhpt,CCbt,DDmx,-81.79
AAcy,BBhpt,CCfnw,DDkrs,-77.54
AAcy,BBhpt,CChpx,DDlmr,-73.41
AAcy,BBhpt,CCbt,DDcwz,-70.59
AAcy,BBhpt,CCfnw,DDqz,-68.65
AAcy,BBhpt,CChpx,DDcmp,-68.91
AAcy,BBhpt,CCbt,DDbmz,-68.46
AAcy,BBhpt,CCfnw,DDgv,-65.89
AAcy,BBhpt,CChpx,DDdlz,-64.19
AAcy,BBhpt,CCbt,DDmx,-62.36
AAcy,BBhpt,CCfnw,DDkrs,-61.93
AAcy,BBhpt,CChpx,DDlmr,-55.33
AApqr,BBbgp,CCbt,DDmx,-52.19
AApqr,BBbgp,CCfnw,DDkrs,-47.74
AApqr,BBbgp,CChpx,DDlmr,-47.55
AApqr,BBbgp,CCbt,DDcwz,-44.54
AApqr,BBbgp,CCfnw,DDqz,-43.53
AApqr,BBbgp,CChpx,DDcmp,-44.92
AApqr,BBbgp,CCbt,DDbmz,-41.79
AApqr,BBbgp,CCfnw,DDgv,-40.61
AApqr,BBbgp,CChpx,DDdlz,-40.72
AApqr,BBbgp,CCbt,DDmx,-42.12
AApqr,BBbgp,CCfnw,DDkrs,-34.79
AApqr,BBbgp,CChpx,DDlmr,-34.34
AAmz,BBdhv,CCbt,DDmx,-31.31
AAmz,BBdhv,CCfnw,DDkrs,-27.0
AAmz,BBdhv,CChpx,DDlmr,-26.32
AAmz,BBdhv,CCbt,DDcwz,-23.41
AAmz,BBdhv,CCfnw,DDqz,-22.62
AAmz,BBdhv,CChpx,DDcmp,-21.27
AAmz,BBdhv,CCbt,DDbmz,-20.68
AAmz,BBdhv,CCfnw,DDgv,-18.54
AAmz,BBdhv,CChpx,DDdlz,-15.57
AAmz,BBdhv,CCbt,DDmx,-12.41
AAmz,BBdhv,CCfnw,DDkrs,-8.43
AAmz,BBdhv,CChpx,DDlmr,-2.61
