AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,653.1
AAdk,BBtw,CChv,DDtv,EEmn,159.47
AAdk,BBtw,CChv,DDpw,EEfh,801.96
AAdk,BBtw,CChv,DDnt,EElp,161.46
AAdk,BBtw,CChv,DDtv,EEfx,163.78
AAdk,BBtw,CChv,DDpw,EEhr,48.12
AAdk,BBst,CChv,DDnt,EEdn,689.91
AAdk,BBst,CChv,DDtv,EEmn,304.11
AAdk,BBst,CChv,DDpw,EEfh,435.57
AAdk,BBst,CChv,DDnt,EElp,691.02
AAdk,BBst,CChv,DDtv,EEfx,51.61
AAdk,BBst,CChv,DDpw,EEhr,695.78
AAdk,BBtw,CChv,DDnt,EEdn,65.08
AAdk,BBtw,CChv,DDtv,EEmn,68.78
AAdk,BBtw,CChv,DDpw,EEfh,715.53
AAdk,BBtw,CChv,DDnt,EElp,985.32
AAdk,BBtw,CChv,DDtv,EEfx,862.0
AAdk,BBtw,CChv,DDpw,EEhr,746.89
AAdk,BBst,CChv,DDnt,EEdn,235.93
AAdk,BBst,CChv,DDtv,EEmn,362.83
AAdk,BBst,CChv,DDpw,EEfh,239.39
AAdk,BBst,CChv,DDnt,EElp,503.88
AAdk,BBst,CChv,DDtv,EEfx,380.48
AAdk,BBst,CChv,DDpw,EEhr,383.69
