Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,513.89
AAdk,BBtw,CCst,DDnw,642.93
AAdk,BBtw,CCbx,DDrz,514.78
AAdk,BBtw,CChv,DDcl,264.65
AAdk,BBtw,CCst,DDlp,392.28
AAdk,BBtw,CCbx,DDcs,648.44
AAdk,BBtw,CChv,DDhm,11.09
AAdk,BBtw,CCst,DDdf,523.35
AAdk,BBtw,CCbx,DDnt,14.28
AAdk,BBrv,CChv,DDnt,143.62
AAdk,BBrv,CCst,DDnw,784.74
AAdk,BBrv,CCbx,DDrz,661.02
AAdk,BBrv,CChv,DDcl,282.8
AAdk,BBrv,CCst,DDlp,40.05
AAdk,BBrv,CCbx,DDcs,936.71
AAdk,BBrv,CChv,DDhm,173.03
AAdk,BBrv,CCst,DDdf,47.08
AAdk,BBrv,CCbx,DDnt,564.78
AAdk,BBmn,CChv,DDnt,59.46
AAdk,BBmn,CCst,DDnw,188.36
AAdk,BBmn,CCbx,DDrz,319.39
AAdk,BBmn,CChv,DDcl,65.86
AAdk,BBmn,CCst,DDlp,197.52
AAdk,BBmn,CCbx,DDcs,199.5
AAdk,BBmn,CChv,DDhm,458.9
AAdk,BBmn,CCst,DDdf,203.81
AAdk,BBmn,CCbx,DDnt,206.27
AAdk,BBtw,CChv,DDnt,341.33
AAdk,BBtw,CCst,DDnw,732.98
AAdk,BBtw,CCbx,DDrz,863.83
AAdk,BBtw,CChv,DDcl,870.67
AAdk,BBtw,CCst,DDlp,745.27
AAdk,BBtw,CCbx,DDcs,235.3
AAdk,BBtw,CChv,DDhm,238.62
AAdk,BBtw,CCst,DDdf,881.0
AAdk,BBtw,CCbx,DDnt,254.51
