DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt
Average,,44.38,-15.53,-2.95,-0.65,4.00
,  ,44.38,-15.53,-2.95,-0.65,4.00
DDmx,,55.74,-44.65,-26.95,-45.93,5.72
,  EEqz,75.81,-90.41,-28.46,-68.42,3.79
,  EEbhk,75.32,43.42,-25.70,-65.17,-0.86
,  EEmz,16.10,-86.97,-26.68,-4.20,14.22
DDcy,,-6.28,-1.62,17.14,-22.05,-8.26
,  EEcrv,-55.79,-90.63,99.09,61.70,4.02
,  EEbkv,-45.45,42.25,-22.94,-64.32,-49.36
,  EEmpy,82.39,43.53,-24.73,-63.54,20.56
DDcjx,,83.69,-0.33,0.94,66.04,14.54
,  EEhq,86.65,44.37,-18.19,69.34,20.50
,  EEdhv,79.02,42.46,-26.54,62.16,3.98
,  EEkqy,85.41,-87.83,47.56,66.62,19.12
