CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,Average
CChpx,,-37.41,-49.18,10.69,18.08,-62.05,26.00,-15.64
,  DDkrs,-1.93,-73.68,-47.32,26.57,39.88,94.94,6.41
,  DDlmr,-28.39,-87.60,65.19,9.79,-99.58,-44.36,-30.82
,  DDdlz,-96.89,-79.69,78.89,20.87,-92.86,94.11,-12.59
,  DDcmp,-22.45,44.26,-53.99,15.10,-95.64,-40.67,-25.56
CCfnw,,-18.45,-82.82,8.05,-14.24,1.13,44.20,-10.36
,  DDkrs,-29.48,-87.06,58.04,5.44,29.17,83.75,9.98
,  DDqz,-27.36,-84.57,-54.80,12.27,-96.49,-96.03,-57.83
,  DDgv,-11.58,-85.46,77.31,-98.78,35.89,93.01,1.73
,  DDmx,-5.39,-74.19,-48.34,24.10,35.94,96.08,4.70
CCbt,,9.36,-52.55,-60.47,14.16,-32.27,23.67,-16.35
,  DDbmz,-20.15,-82.47,-52.36,18.17,34.00,-39.86,-23.78
,  DDmx,95.17,-92.91,-73.91,5.92,28.46,-46.98,-14.04
,  DDcwz,-27.50,-85.83,-61.27,11.39,-97.21,86.98,-28.91
,  DDmpy,-10.08,51.00,-54.33,21.16,-94.34,94.53,1.32
Average,,-15.50,-61.52,-13.91,6.00,-31.06,31.29,-14.12
,  ,-15.50,-61.52,-13.91,6.00,-31.06,31.29,-14.12
