CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,Average
CCfnw,,-30.06,23.82,51.80,8.67,-10.05,35.58,17.88,13.95
,  DDmx,39.11,-32.46,56.69,-15.78,-1.55,74.08,25.51,20.80
,  DDkrs,29.53,80.19,45.63,99.21,-13.13,-69.18,1.96,24.89
,  DDcmp,-91.44,90.62,53.36,-23.33,-9.86,70.02,25.84,16.46
,  DDcwz,-97.43,-43.07,51.52,-25.40,-15.67,67.39,18.21,-6.35
CCbt,,-31.41,21.55,51.64,-25.95,-10.99,1.11,14.59,2.93
,  DDmx,28.72,76.86,45.48,-30.82,-14.74,-71.82,-0.82,4.69
,  DDbmz,-89.48,-33.28,56.94,-17.60,-5.18,-57.17,26.45,-17.05
,  DDqz,34.07,-42.18,53.16,-25.62,-10.58,68.70,21.03,14.08
,  DDlmr,-98.97,84.80,50.97,-29.74,-13.45,64.74,11.71,10.01
