AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,0.76
AAdk,BBtw,CChv,DDtv,EEmn,1.21
AAdk,BBtw,CChv,DDnt,EEfh,2.76
AAdk,BBtw,CChv,DDtv,EElp,3.03
AAdk,BBtw,CChv,DDnt,EEfx,4.54
AAdk,BBtw,CChv,DDtv,EEdn,4.56
AArv,BBst,CCnw,DDnt,EEdn,3.81
AArv,BBst,CCnw,DDtv,EEmn,7.08
AArv,BBst,CCnw,DDnt,EEfh,1.33
AArv,BBst,CCnw,DDtv,EElp,9.07
AArv,BBst,CCnw,DDnt,EEfx,10.35
AArv,BBst,CCnw,DDtv,EEdn,11.84
AAdk,BBtw,CCdt,DDnt,EEdn,12.7
AAdk,BBtw,CCdt,DDtv,EEmn,12.89
AAdk,BBtw,CCdt,DDnt,EEfh,9.39
AAdk,BBtw,CCdt,DDtv,EElp,15.75
AAdk,BBtw,CCdt,DDnt,EEfx,16.97
AAdk,BBtw,CCdt,DDtv,EEdn,17.07
AArv,BBst,CCdl,DDnt,EEdn,15.96
AArv,BBst,CCdl,DDtv,EEmn,21.29
AArv,BBst,CCdl,DDnt,EEfh,24.69
AArv,BBst,CCdl,DDtv,EElp,24.75
AArv,BBst,CCdl,DDnt,EEfx,26.76
AArv,BBst,CCdl,DDtv,EEdn,27.86
