CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
CCbt,,65.23,27.32,7.90,45.91,73.14,43.41,,
,  DDmpy,75.35,40.20,23.77,62.01,98.22,49.36,EEmz,FFbpv
,  DDmx,65.23,27.32,7.90,45.91,73.14,43.41,EEmz,FFgqt
,  DDhpt,69.81,34.20,15.51,55.21,93.91,46.50,EEhpx,FFcmp
CCkqy,,63.96,31.08,11.88,50.25,82.52,40.44,,
,  DDmx,73.28,40.49,28.12,63.48,98.56,51.42,EEmz,FFgqt
,  DDbsz,74.17,39.52,22.38,56.15,99.26,47.89,EEhpx,FFlmr
,  DDcwz,63.96,31.08,11.88,50.25,82.52,40.44,EEmz,FFbpv
CCcy,,66.35,30.51,9.94,53.04,80.02,41.10,,
,  DDbmz,73.86,36.55,15.23,56.06,98.94,46.27,EEmz,FFgqt
,  DDbkv,66.35,30.51,9.94,53.04,80.02,41.10,EEhpx,FFlmr
,  DDhlt,76.13,41.44,27.11,63.65,98.81,49.61,EEhpx,FFcmp
