CC,DD,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp
CChpx,DDkrs,92.01,42.65,76.74,28.78,54.29,15.14,94.56
,DDcmp,89.81,38.50,72.92,28.41,55.63,11.00,98.51
,DDlmr,79.76,32.74,69.72,25.38,49.19,4.91,95.44
CCbt,DDcwz,82.70,35.45,70.86,26.35,50.29,7.39,94.84
,DDmx,79.00,32.11,61.34,23.41,44.95,1.57,92.77
,DDbmz,90.47,40.62,74.02,28.07,54.56,11.46,99.56
CCfnw,DDkrs,80.01,33.45,65.91,24.47,43.40,1.20,94.12
,DDqz,87.80,36.97,72.48,26.40,54.10,7.06,96.86
,DDmx,91.65,42.19,72.82,27.47,57.16,14.60,99.45
Minimum,,79.00,32.11,61.34,23.41,43.40,1.20,92.77
