AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,774.11
AAdk,BBtw,CChv,DDtv,EEmn,902.77
AAdk,BBtw,CChv,DDnt,EEfh,781.95
AAdk,BBtw,CChv,DDtv,EElp,531.45
AAdk,BBtw,CChv,DDnt,EEfx,20.8
AAdk,BBtw,CChv,DDtv,EEdn,286.3
AAdk,BBst,CChv,DDnt,EEdn,291.33
AAdk,BBst,CChv,DDtv,EEmn,677.12
AAdk,BBst,CChv,DDnt,EEfh,298.69
AAdk,BBst,CChv,DDtv,EElp,177.11
AAdk,BBst,CChv,DDnt,EEfx,691.08
AAdk,BBst,CChv,DDtv,EEdn,58.63
AAdk,BBtw,CChv,DDnt,EEdn,711.08
AAdk,BBtw,CChv,DDtv,EEmn,585.26
AAdk,BBtw,CChv,DDnt,EEfh,331.49
AAdk,BBtw,CChv,DDtv,EElp,592.0
AAdk,BBtw,CChv,DDnt,EEfx,87.12
AAdk,BBtw,CChv,DDtv,EEdn,731.18
AAdk,BBst,CChv,DDnt,EEdn,608.66
AAdk,BBst,CChv,DDtv,EEmn,865.37
AAdk,BBst,CChv,DDnt,EEfh,227.75
AAdk,BBst,CChv,DDtv,EElp,611.13
AAdk,BBst,CChv,DDnt,EEfx,867.08
AAdk,BBst,CChv,DDtv,EEdn,486.52
