CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,EE,FF
Minimum,,13.18,65.82,27.45,84.32,2.15,46.17,,
,  ,13.18,65.82,27.45,84.32,2.15,46.17,,
CCkqy,,15.60,68.78,32.43,87.44,7.49,57.45,,
,  DDbsz,25.49,79.18,35.27,90.13,13.85,59.69,EEmz,FFgqt
,  DDcwz,15.60,68.78,32.43,87.44,7.49,57.45,EEmz,FFgqt
,  DDbkv,26.38,82.77,42.04,94.13,16.99,58.37,EEmz,FFgqt
CCbt,,13.18,65.82,27.45,84.32,2.15,46.17,,
,  DDmx,13.18,65.82,30.45,84.32,2.15,46.17,EEmz,FFgqt
,  DDhpt,23.53,75.13,29.89,89.52,9.55,58.52,EEmz,FFgqt
,  DDmpy,27.66,80.75,27.45,93.17,13.51,61.53,EEmz,FFgqt
CCcy,,18.44,67.18,31.97,87.29,3.03,51.84,,
,  DDmx,28.07,81.82,38.39,94.71,15.41,61.77,EEmz,FFgqt
,  DDbmz,25.35,75.42,33.92,87.37,12.08,59.35,EEmz,FFgqt
,  DDbkv,18.44,67.18,31.97,87.29,3.03,51.84,EEmz,FFgqt
