DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,Average
DDcy,,-57.80,63.91,-14.98,-87.22,39.83,30.32,7.99,-32.23,-6.27
,  EEjvz,-51.95,71.26,-9.75,-82.45,45.62,-3.63,12.30,-8.14,-3.34
,  EEbkv,-57.59,64.02,-16.10,-89.87,38.53,36.91,9.74,-38.34,-6.59
,  EEmpy,-58.99,61.25,-12.72,-85.99,39.27,96.52,7.17,-39.99,0.82
,  EEcrv,-62.69,59.13,-21.36,-90.59,35.90,-8.53,2.75,-42.43,-15.98
DDmx,,-59.52,62.41,-16.23,-87.20,38.81,44.00,6.24,-42.16,-6.71
,  EEksy,-54.59,70.77,-10.30,-82.78,45.94,-3.31,8.84,-37.01,-7.81
,  EEqz,-64.82,57.04,-21.63,-91.16,34.11,84.38,2.07,-51.35,-6.42
,  EEbhk,-59.69,61.14,-14.43,-87.05,36.41,96.91,7.23,-40.02,0.06
,  EEmz,-58.97,60.67,-18.57,-87.81,38.80,-1.97,6.82,-40.27,-12.66
DDcjx,,-56.26,67.13,-12.98,-85.21,42.10,45.84,8.97,-38.53,-3.62
,  EEkqy,-57.83,67.44,-14.12,-84.85,40.14,-7.97,13.18,-38.00,-10.25
,  EEdhv,-60.53,59.52,-17.99,-91.71,36.86,92.01,1.11,-41.72,-2.81
,  EEdfk,-51.15,72.81,-8.05,-80.71,47.47,0.83,12.08,-35.65,-5.30
,  EEhq,-55.52,68.77,-11.76,-83.58,43.93,98.48,9.50,-38.76,3.88
