DD,EE,AArv_BBst_CCnw,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AAbx_BBtw_CCdt,Maximum
DDnt,,18.93,24.43,9.08,27.61,27.61
,  EElp,9.62,9.58,4.73,24.62,24.62
,  EEhl,18.93,14.85,9.08,27.61,27.61
,  EEdn,12.43,24.43,1.79,21.91,24.43
DDtv,,16.17,23.27,9.33,26.20,26.20
,  EEfx,16.17,9.60,3.23,25.22,25.22
,  EEdn,14.36,15.51,9.33,26.20,26.20
,  EEmn,13.43,23.27,2.12,22.79,23.27
DDpw,,16.18,16.58,10.79,25.75,25.75
,  EEfh,14.68,9.57,3.76,23.66,23.66
,  EEhr,16.18,11.92,6.92,25.75,25.75
,  EEmn,15.93,16.58,10.79,22.04,22.04
