DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBlmr_CCbmz
DDcy,,19.53,5.77,26.95,25.31,27.18,13.95,24.06,11.24
,  EEmz,0.76,5.77,8.03,25.31,6.16,13.95,24.06,3.20
,  EEcrv,19.53,1.76,26.95,22.83,26.07,13.59,23.08,11.24
,  EEbkv,5.03,0.26,7.59,19.07,27.18,10.45,22.23,10.65
DDcjx,,22.44,7.52,9.27,26.69,27.93,12.56,25.23,17.06
,  EEdhv,20.79,5.37,8.80,23.72,26.77,12.56,3.33,11.32
,  EEkqy,18.58,0.93,7.68,20.14,25.03,11.45,2.59,4.35
,  EEbkv,22.44,7.52,9.27,26.69,27.93,9.79,25.23,17.06
DDmx,,25.17,5.73,8.15,24.46,27.34,14.14,23.03,15.13
,  EEbhk,20.25,5.73,8.15,24.46,26.57,14.14,23.03,15.13
,  EEmz,25.17,0.94,7.01,18.97,27.34,9.49,22.64,9.84
,  EEqz,19.44,3.72,6.34,21.98,25.67,12.84,22.65,11.85
Maximum,,25.17,7.52,26.95,26.69,27.93,14.14,25.23,17.06
,  ,25.17,7.52,26.95,26.69,27.93,14.14,25.23,17.06
