DD,EE,AAbx_BBtw_CCdt,AArv_BBst_CCnw,AAdk_BBst_CCdl,AAdk_BBtw_CChv,Maximum
DDtv,,25.54,16.42,26.39,7.73,26.39
,  EEdn,25.54,16.42,5.19,7.73,25.54
,  EEmn,15.84,10.15,26.39,1.92,26.39
,  EEfx,22.63,4.84,24.77,4.69,24.77
DDnt,,22.37,15.90,27.86,6.16,27.86
,  EEdn,18.69,9.02,27.86,0.87,27.86
,  EEhl,22.37,15.90,4.79,6.16,22.37
,  EElp,21.81,12.98,23.87,3.89,23.87
DDpw,,24.22,17.62,26.47,5.02,26.47
,  EEmn,24.22,17.62,21.39,3.01,24.22
,  EEhr,23.74,10.03,12.34,5.02,23.74
,  EEfh,16.71,6.36,26.47,2.73,26.47
