CC,DD,AAdk_BBdl,AAdk_BBtw,AAdk_BBmn,AAdn_BBpw,AAdn_BBhz,AAdn_BBrv,Minimum
CCst,,75.63,9.75,47.44,57.17,93.72,22.59,9.75
,  DDcl,90.47,12.13,49.40,70.13,97.39,30.51,12.13
,  DDcs,91.46,15.47,51.87,73.01,93.72,40.93,15.47
,  DDnw,75.63,9.75,47.44,57.17,95.04,22.59,9.75
CChv,,74.19,2.01,41.46,50.52,90.20,16.07,2.01
,  DDrz,90.73,10.13,47.58,65.21,95.13,23.02,10.13
,  DDlp,90.01,12.46,49.51,70.54,97.42,31.34,12.46
,  DDnt,74.19,2.01,41.46,50.52,90.20,16.07,2.01
Minimum,,74.19,2.01,41.46,50.52,90.20,16.07,2.01
,  ,74.19,2.01,41.46,50.52,90.20,16.07,2.01
