CC,DD,AAdk_BBdl,AAdk_BBmn,AAdk_BBtw,AAdn_BBpw,AAdn_BBrv,Average
CChv,,22.43,-22.32,-23.26,44.00,42.17,12.60
,  DDlp,-7.60,72.95,-94.82,91.33,44.94,21.36
,  DDrz,-19.80,-64.83,20.64,88.71,41.58,13.26
,  DDnt,94.69,-75.09,4.40,-48.03,39.99,3.19
CCst,,24.78,-59.49,-15.95,89.30,43.87,16.50
,  DDcl,-18.46,-58.45,28.34,88.41,43.96,16.76
,  DDcs,-2.75,-51.17,-94.01,93.83,47.66,-1.29
,  DDnw,95.54,-68.86,17.82,85.66,39.98,34.03
Average,,23.60,-40.91,-19.61,66.65,43.02,14.55
,  ,23.60,-40.91,-19.61,66.65,43.02,14.55
