DD,EE,AArv_BBst_CCnw,AArv_BBtw_CCmx,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AAbx_BBtw_CCdt,Maximum
DDtv,,12.25,27.96,24.08,6.68,18.21,27.96
,  EElp,9.86,27.96,22.48,3.06,16.53,27.96
,  EEhr,12.25,13.30,24.08,6.68,18.21,24.08
,  EEmn,8.86,24.46,19.40,1.42,14.29,24.46
DDnt,,9.57,27.18,21.34,3.20,14.24,27.18
,  EEdn,6.40,25.33,13.65,0.99,13.62,25.33
,  EEfh,8.73,27.18,21.34,1.09,14.24,27.18
,  EEfx,9.57,8.97,20.24,3.20,12.31,20.24
Maximum,,12.25,27.96,24.08,6.68,18.21,27.96
,  ,12.25,27.96,24.08,6.68,18.21,27.96
