CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt
CChpx,DDcmp,16.49,-12.63,-76.84,63.94,-62.84,84.93,-45.19
,DDlmr,9.25,-23.63,-81.96,51.44,-65.98,84.10,-48.72
,DDmx,23.94,-10.11,-71.19,75.08,-63.43,-91.33,-39.63
,DDcwz,29.40,-5.60,-69.02,77.48,-56.58,-86.40,-32.25
CCfnw,DDkrs,4.77,-27.29,-82.74,44.77,-66.54,83.89,-54.07
,DDqz,15.22,-12.08,-77.20,61.85,-63.16,86.18,-45.85
,DDgv,22.52,-9.13,-72.29,72.26,-65.72,-94.68,-45.07
,DDlmr,28.01,-10.67,-69.98,77.95,-59.18,-89.80,-35.73
CCbt,DDkrs,26.25,-7.21,-72.94,76.56,-58.40,-89.42,-36.13
,DDmx,4.59,-31.55,-84.06,33.37,-68.01,82.81,-56.19
,DDbmz,17.09,-12.57,-74.09,70.99,-64.05,0.35,-43.41
,DDcwz,12.34,-17.70,-79.31,51.04,-64.14,84.49,-46.25
