DD,EE,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv
Maximum,,26.17,25.15,17.98,17.85,8.11,27.71
,  ,26.17,25.15,17.98,17.85,8.11,27.71
DDmx,,23.51,22.17,16.45,15.81,5.89,27.71
,  EEqz,20.09,19.91,12.61,9.19,3.84,25.12
,  EEbhk,23.51,22.17,16.45,15.81,5.89,27.71
,  EEmz,18.74,18.29,5.58,0.52,0.36,24.99
DDcy,,24.67,22.52,17.35,14.49,4.77,26.82
,  EEcrv,17.86,20.51,12.31,13.85,4.77,22.66
,  EEmpy,24.67,22.52,17.35,14.49,1.10,25.28
,  EEbkv,19.03,18.26,10.45,6.51,0.07,26.82
DDcjx,,26.17,25.15,17.98,17.85,8.11,27.45
,  EEkqy,20.07,19.96,12.05,5.49,2.49,23.67
,  EEmz,26.17,25.15,17.98,17.85,8.11,27.45
,  EEdhv,23.76,21.00,14.02,14.30,5.14,27.15
