CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,Minimum,EE,FF
CCkqy,,64.26,23.03,3.45,40.94,78.92,3.45,,
,  DDcwz,64.26,23.03,3.45,40.94,78.92,3.45,EEmz,FFgqt
,  DDbsz,68.09,34.12,11.99,48.45,93.10,11.99,EEhpx,FFlmr
,  DDmx,76.35,37.44,15.23,52.46,96.18,15.23,EEmz,FFgqt
CCbt,,63.64,18.99,0.72,38.04,78.64,0.72,,
,  DDmpy,71.12,35.79,12.99,47.18,94.33,12.99,EEmz,FFgqt
,  DDmx,63.64,18.99,0.72,38.04,78.64,0.72,EEmz,FFgqt
,  DDhpt,66.14,26.12,5.88,46.83,85.54,5.88,EEhpx,FFlmr
CCcy,,63.82,19.53,1.24,39.10,79.99,1.24,,
,  DDbmz,68.54,28.67,7.69,47.56,92.37,7.69,EEmz,FFgqt
,  DDhlt,73.25,36.30,11.40,50.41,95.26,11.40,EEhpx,FFlmr
,  DDbkv,63.82,19.53,1.24,39.10,79.99,1.24,EEhpx,FFlmr
Minimum,,63.64,18.99,0.72,38.04,78.64,0.72,,
,  ,63.64,18.99,0.72,38.04,78.64,0.72,,
