CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,Average
CCfnw,,5.30,-55.72,3.95,-4.81,14.38,-7.38
,  DDgv,82.04,-77.36,-14.85,15.53,-59.56,-10.84
,  DDmx,-59.00,-77.97,-10.57,-99.75,69.12,-35.63
,  DDcwz,99.93,-74.96,-4.19,32.97,75.71,25.89
,  DDqz,-46.56,43.06,72.53,16.32,57.67,28.60
,  DDkrs,-49.89,-91.36,-23.15,10.87,-71.04,-44.91
CCbt,,31.46,-5.02,-16.67,-6.71,-9.63,-1.31
,  DDmpy,-40.97,52.55,-11.59,26.91,-56.35,-5.89
,  DDmx,75.73,36.03,-25.41,4.60,-69.61,4.27
,  DDcwz,-55.67,-87.08,-21.37,14.31,62.03,-17.56
,  DDlmr,94.50,-72.29,-6.84,-97.82,-53.33,-27.16
,  DDbmz,83.72,45.71,-18.13,18.45,69.13,39.78
CChpx,,26.59,-27.38,-13.11,-2.06,16.95,0.20
,  DDlmr,80.71,-88.21,-22.97,14.02,54.81,7.67
,  DDdlz,-41.52,-77.24,-12.55,26.21,-59.06,-32.83
,  DDqz,71.23,58.34,-2.52,-97.70,75.09,20.89
,  DDcmp,-46.81,43.43,-18.74,17.32,68.55,12.75
,  DDkrs,69.32,-73.24,-8.78,29.86,-54.65,-7.50
Average,,21.12,-29.37,-8.61,-4.53,7.23,-2.83
,  ,21.12,-29.37,-8.61,-4.53,7.23,-2.83
