CC,DD,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCbt,,52.93,3.84,91.59,40.81,13.29,74.58,3.84,,
,  DDcwz,54.71,6.77,95.49,42.43,27.53,87.76,6.77,EEmz,FFgqt
,  DDbmz,56.90,8.80,99.44,49.26,32.72,89.55,8.80,EEmz,FFgqt
,  DDmx,52.93,3.84,91.59,40.81,13.29,74.58,3.84,EEmz,FFgqt
CCcy,,53.51,5.31,90.35,41.31,25.06,77.31,5.31,,
,  DDbkv,53.51,5.31,90.35,41.31,25.06,77.31,5.31,EEmz,FFlmr
,  DDhpt,55.70,6.86,98.39,45.51,29.59,87.35,6.86,EEmz,FFlmr
,  DDmx,73.72,12.13,99.31,50.85,34.62,88.12,12.13,EEmz,FFlmr
Minimum,,52.93,3.84,90.35,40.81,13.29,74.58,3.84,,
,  ,52.93,3.84,90.35,40.81,13.29,74.58,3.84,,
