DD,EE,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,Average
DDcjx,EEhq,84.65,-39.27,10.01,-13.38,30.54,-88.36,61.97,-63.04,-2.11
,EEdhv,75.03,-45.07,7.35,-16.59,25.40,-96.81,54.00,-72.70,-8.67
,EEkqy,85.03,-36.05,10.55,-10.88,30.18,-40.96,54.59,-65.31,3.40
,EEdfk,90.49,-27.64,11.80,-8.52,34.18,-87.23,66.06,-57.38,2.72
DDcy,EEcrv,76.33,-46.85,6.12,-18.00,23.20,-99.43,51.60,-73.96,-10.12
,EEjvz,87.18,-31.90,11.48,-15.93,34.75,-87.63,65.67,-62.31,0.16
,EEbkv,81.25,-39.07,9.02,-12.87,28.76,8.32,55.38,-66.95,7.98
,EEmpy,83.12,-39.65,7.91,-14.01,29.65,-96.11,59.32,-67.34,-4.64
DDmx,EEqz,75.11,-48.64,4.53,-19.85,21.37,-99.61,49.98,-75.71,-11.60
,EEmz,77.85,-39.11,7.96,-14.40,28.05,6.49,54.80,-70.09,6.44
,EEbhk,78.66,-45.75,8.61,-15.65,28.43,-96.91,58.32,-68.27,-6.57
,EEksy,83.31,-38.48,11.67,-13.55,33.88,-87.48,64.16,-62.43,-1.12
