CC,DD,EE,FF,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs
CCbt,DDhpt,EEmz,FFgqt,35.72,6.41,93.41,26.71,78.45,61.30,17.62
,DDmx,EEmz,FFgqt,31.77,2.34,86.61,23.46,71.98,47.80,11.01
,DDmpy,EEmz,FFgqt,40.71,11.06,96.13,28.43,85.01,63.13,19.60
CCcy,DDbmz,EEmz,FFgqt,36.76,7.25,94.40,27.52,79.28,62.43,17.09
,DDmx,EEmz,FFgqt,40.58,12.09,97.66,30.93,86.13,69.78,21.52
,DDbkv,EEmz,FFgqt,33.67,2.17,90.69,24.88,75.25,52.56,10.46
CCkqy,DDbkv,EEmz,FFgqt,43.20,13.78,98.24,31.10,87.25,69.64,16.26
,DDbsz,EEmz,FFgqt,32.40,10.66,95.44,28.89,81.24,62.00,19.69
,DDcwz,EEmz,FFgqt,29.78,4.36,90.06,17.75,77.06,11.46,15.70
Minimum,,,,29.78,2.17,86.61,17.75,71.98,11.46,10.46
