Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,643.6
AAdk,BBtw,CCst,DDnw,772.61
AAdk,BBtw,CChv,DDrz,391.51
AAdk,BBtw,CCst,DDcl,137.99
AAdk,BBtw,CChv,DDlp,908.04
AAdk,BBtw,CCst,DDnt,782.77
AAdk,BBrv,CChv,DDnt,530.92
AAdk,BBrv,CCst,DDnw,282.65
AAdk,BBrv,CChv,DDrz,27.02
AAdk,BBrv,CCst,DDcl,284.71
AAdk,BBrv,CChv,DDlp,800.49
AAdk,BBrv,CCst,DDnt,933.39
AAdk,BBmn,CChv,DDnt,679.73
AAdk,BBmn,CCst,DDnw,940.66
AAdk,BBmn,CChv,DDrz,684.22
AAdk,BBmn,CCst,DDcl,311.58
AAdk,BBmn,CChv,DDlp,572.85
AAdk,BBmn,CCst,DDnt,450.99
AAdk,BBtw,CChv,DDnt,324.4
AAdk,BBtw,CCst,DDnw,733.28
AAdk,BBtw,CChv,DDrz,352.4
AAdk,BBtw,CCst,DDcl,498.56
AAdk,BBtw,CChv,DDlp,375.95
AAdk,BBtw,CCst,DDnt,891.24
