CC,DD,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv,Average
CCfnw,DDkrs,0.44,-64.09,54.91,-35.49,31.98,-42.42,-9.11
,DDlmr,28.05,-42.57,63.26,-1.58,-76.32,97.78,11.44
,DDcwz,3.60,73.22,-77.73,-16.28,-92.61,92.61,-2.87
,DDcmp,7.74,73.60,54.79,-79.77,44.78,94.40,32.59
,DDmx,12.12,82.25,56.15,-4.90,-78.39,97.41,27.44
CCbt,DDkrs,24.45,-44.62,-73.81,-2.83,51.86,96.03,8.51
,DDlmr,2.45,69.39,55.01,-18.81,-95.17,92.89,17.63
,DDbmz,10.35,-52.32,-71.46,-6.18,-79.69,96.45,-17.14
,DDmx,0.35,-64.27,-75.50,99.55,29.32,-42.45,-8.83
,DDqz,1.60,-54.16,57.45,-16.03,-85.73,94.58,-0.38
