AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,129.39
AApqr,BBnqx,CCbt,DDcy,EEbkv,650.77
AApqr,BBnqx,CCbt,DDcjx,EEkqy,653.41
AApqr,BBnqx,CCbt,DDmx,EEqz,15.18
AApqr,BBnqx,CCbt,DDcy,EEcrv,528.03
AApqr,BBnqx,CCbt,DDcjx,EEdhv,148.0
AApqr,BBnqx,CCbt,DDmx,EEbhk,148.73
AApqr,BBnqx,CCbt,DDcy,EEmpy,283.15
AApqr,BBnqx,CCbt,DDcjx,EEhq,928.1
AApqr,BBfnw,CCbt,DDmx,EEmz,802.02
AApqr,BBfnw,CCbt,DDcy,EEbkv,37.92
AApqr,BBfnw,CCbt,DDcjx,EEkqy,807.15
AApqr,BBfnw,CCbt,DDmx,EEqz,297.31
AApqr,BBfnw,CCbt,DDcy,EEcrv,683.73
AApqr,BBfnw,CCbt,DDcjx,EEdhv,50.28
AApqr,BBfnw,CCbt,DDmx,EEbhk,692.49
AApqr,BBfnw,CCbt,DDcy,EEmpy,436.17
AApqr,BBfnw,CCbt,DDcjx,EEhq,186.06
AApqr,BBlmr,CCbt,DDmx,EEmz,571.72
AApqr,BBlmr,CCbt,DDcy,EEbkv,60.48
AApqr,BBlmr,CCbt,DDcjx,EEkqy,701.75
AApqr,BBlmr,CCbt,DDmx,EEqz,317.84
AApqr,BBlmr,CCbt,DDcy,EEcrv,714.43
AApqr,BBlmr,CCbt,DDcjx,EEdhv,971.54
AApqr,BBlmr,CCbt,DDmx,EEbhk,460.95
AApqr,BBlmr,CCbt,DDcy,EEmpy,465.26
AApqr,BBlmr,CCbt,DDcjx,EEhq,594.31
AApqr,BBnqx,CCbt,DDmx,EEmz,83.31
AApqr,BBnqx,CCbt,DDcy,EEbkv,212.94
AApqr,BBnqx,CCbt,DDcjx,EEkqy,597.13
AApqr,BBnqx,CCbt,DDmx,EEqz,598.52
AApqr,BBnqx,CCbt,DDcy,EEcrv,345.23
AApqr,BBnqx,CCbt,DDcjx,EEdhv,247.99
AApqr,BBnqx,CCbt,DDmx,EEbhk,731.69
AApqr,BBnqx,CCbt,DDcy,EEmpy,607.93
AApqr,BBnqx,CCbt,DDcjx,EEhq,867.71
AApqr,BBfnw,CCbt,DDmx,EEmz,614.63
AApqr,BBfnw,CCbt,DDcy,EEbkv,871.13
AApqr,BBfnw,CCbt,DDcjx,EEkqy,232.52
AApqr,BBfnw,CCbt,DDmx,EEqz,103.42
AApqr,BBfnw,CCbt,DDcy,EEcrv,235.53
AApqr,BBfnw,CCbt,DDcjx,EEdhv,620.59
AApqr,BBfnw,CCbt,DDmx,EEbhk,247.56
AApqr,BBfnw,CCbt,DDcy,EEmpy,634.94
AApqr,BBfnw,CCbt,DDcjx,EEhq,891.96
