AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,257.06
AAdk,BBtw,CChv,DDtv,EEmn,131.93
AAdk,BBtw,CChv,DDnt,EEfh,132.46
AAdk,BBtw,CChv,DDtv,EElp,901.08
AAdk,BBtw,CChv,DDnt,EEfx,138.89
AAdk,BBtw,CChv,DDtv,EEhr,138.57
AAdk,BBst,CChv,DDnt,EEdn,662.75
AAdk,BBst,CChv,DDtv,EEmn,27.02
AAdk,BBst,CChv,DDnt,EEfh,539.15
AAdk,BBst,CChv,DDtv,EElp,418.44
AAdk,BBst,CChv,DDnt,EEfx,805.39
AAdk,BBst,CChv,DDtv,EEhr,426.78
AAdk,BBrz,CChv,DDnt,EEdn,811.05
AAdk,BBrz,CChv,DDtv,EEmn,561.2
AAdk,BBrz,CChv,DDnt,EEfh,434.2
AAdk,BBrz,CChv,DDtv,EElp,952.57
AAdk,BBrz,CChv,DDnt,EEfx,575.53
AAdk,BBrz,CChv,DDtv,EEhr,831.53
AAdk,BBtw,CChv,DDnt,EEdn,578.2
AAdk,BBtw,CChv,DDtv,EEmn,463.54
AAdk,BBtw,CChv,DDnt,EEfh,724.54
AAdk,BBtw,CChv,DDtv,EElp,87.92
AAdk,BBtw,CChv,DDnt,EEfx,344.3
AAdk,BBtw,CChv,DDtv,EEhr,222.2
AAdk,BBst,CChv,DDnt,EEdn,223.74
AAdk,BBst,CChv,DDtv,EEmn,617.61
AAdk,BBst,CChv,DDnt,EEfh,109.98
AAdk,BBst,CChv,DDtv,EElp,504.41
AAdk,BBst,CChv,DDnt,EEfx,890.01
AAdk,BBst,CChv,DDtv,EEhr,894.8
