Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,896.49
AAdk,BBtw,CCst,DDnw,385.66
AAdk,BBtw,CCbx,DDrz,387.2
AAdk,BBtw,CChv,DDcl,131.28
AAdk,BBtw,CCst,DDlp,775.05
AAdk,BBtw,CCbx,DDcs,11.35
AAdk,BBtw,CChv,DDhm,141.93
AAdk,BBtw,CCst,DDdf,910.53
AAdk,BBtw,CCbx,DDnt,655.3
AAdk,BBrv,CChv,DDnt,276.32
AAdk,BBrv,CCst,DDnw,410.13
AAdk,BBrv,CCbx,DDrz,29.56
AAdk,BBrv,CChv,DDcl,671.68
AAdk,BBrv,CCst,DDlp,805.57
AAdk,BBrv,CCbx,DDcs,678.18
AAdk,BBrv,CChv,DDhm,680.05
AAdk,BBrv,CCst,DDdf,555.17
AAdk,BBrv,CCbx,DDnt,178.39
AAdk,BBmn,CChv,DDnt,181.69
AAdk,BBmn,CCst,DDnw,185.87
AAdk,BBmn,CCbx,DDrz,828.64
AAdk,BBmn,CChv,DDcl,445.13
AAdk,BBmn,CCst,DDlp,958.37
AAdk,BBmn,CCbx,DDcs,447.55
AAdk,BBmn,CChv,DDhm,327.62
AAdk,BBmn,CCst,DDdf,587.56
AAdk,BBmn,CCbx,DDnt,460.02
AAdk,BBtw,CChv,DDnt,211.13
AAdk,BBtw,CCst,DDnw,218.86
AAdk,BBtw,CCbx,DDrz,604.39
AAdk,BBtw,CChv,DDcl,732.38
AAdk,BBtw,CCst,DDlp,352.64
AAdk,BBtw,CCbx,DDcs,356.04
AAdk,BBtw,CChv,DDhm,232.26
AAdk,BBtw,CCst,DDdf,625.49
AAdk,BBtw,CCbx,DDnt,504.01
