CC,DD,AAdk_BBtw,AAdk_BBdl,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
Minimum,,4.49,76.71,41.62,54.70,23.79
,  ,4.49,76.71,41.62,54.70,23.79
CChv,,4.49,76.71,42.12,54.70,23.79
,  DDcl,10.55,83.86,45.01,64.36,26.63
,  DDnt,4.49,76.71,42.12,54.70,23.79
,  DDhm,13.70,91.41,48.63,72.70,29.37
CCst,,7.30,81.15,43.98,58.01,24.14
,  DDdf,17.80,92.41,51.31,73.34,38.74
,  DDlp,13.89,88.33,45.71,64.48,26.45
,  DDnw,7.30,81.15,43.98,58.01,24.14
CCbx,,9.47,82.40,41.62,63.45,24.84
,  DDnt,20.00,94.56,53.61,74.14,41.81
,  DDrz,9.47,82.40,41.62,63.45,24.84
,  DDcs,14.70,89.94,41.66,71.60,29.52
