Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,267.19
AAdk,BBtw,CCst,DDnw,908.34
AAdk,BBtw,CCbx,DDrz,275.9
AAdk,BBtw,CChv,DDcl,922.79
AAdk,BBtw,CCst,DDlp,924.08
AAdk,BBtw,CCbx,DDcs,413.68
AAdk,BBtw,CChv,DDhm,174.52
AAdk,BBtw,CCst,DDdf,304.01
AAdk,BBtw,CCbx,DDnt,313.15
AAdk,BBrv,CChv,DDnt,570.06
AAdk,BBrv,CCst,DDnw,954.83
AAdk,BBrv,CCbx,DDrz,189.73
AAdk,BBrv,CChv,DDcl,959.69
AAdk,BBrv,CCst,DDlp,320.81
AAdk,BBrv,CCbx,DDcs,324.02
AAdk,BBrv,CChv,DDhm,713.51
AAdk,BBrv,CCst,DDdf,204.14
AAdk,BBrv,CCbx,DDnt,847.84
AAdk,BBtw,CChv,DDnt,336.86
AAdk,BBtw,CCst,DDnw,247.4
AAdk,BBtw,CCbx,DDrz,479.69
AAdk,BBtw,CChv,DDcl,235.0
AAdk,BBtw,CCst,DDlp,114.39
AAdk,BBtw,CCbx,DDcs,887.09
AAdk,BBtw,CChv,DDhm,634.19
AAdk,BBtw,CCst,DDdf,765.8
AAdk,BBtw,CCbx,DDnt,127.45
