CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,Minimum
CCfnw,,2.95,47.71,86.39,93.84,13.47,59.17,76.61,24.19,2.95
,  DDgv,9.64,55.85,92.61,99.78,25.61,68.92,83.21,42.57,9.64
,  DDkrs,2.95,47.71,86.39,95.33,13.47,59.17,76.61,24.19,2.95
,  DDqz,4.83,52.52,87.15,93.84,21.10,63.71,80.79,35.56,4.83
CChpx,,4.08,48.41,86.99,93.26,17.68,59.73,77.83,29.27,4.08
,  DDlmr,4.49,48.41,86.99,96.05,17.68,59.73,77.83,29.27,4.49
,  DDcmp,4.08,53.77,89.68,93.26,23.20,65.50,81.55,35.51,4.08
,  DDmx,11.38,56.92,91.81,93.93,26.15,71.46,82.57,43.12,11.38
CCbt,,0.90,46.06,81.22,94.41,12.77,59.38,76.70,27.37,0.90
,  DDcwz,5.73,46.06,88.19,97.31,20.69,60.15,76.70,32.96,5.73
,  DDbmz,9.96,54.77,91.77,98.00,24.29,67.18,81.53,37.26,9.96
,  DDmx,0.90,46.36,81.22,94.41,12.77,59.38,91.78,27.37,0.90
