DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCkrs
DDcjx,,-20.75,83.28,19.42,18.23,-1.90
,  EEkqy,-21.92,81.00,63.28,16.43,47.41
,  EEdhv,41.49,80.03,60.79,17.68,-29.46
,  EEhq,-81.81,88.81,-65.80,20.58,-23.64
DDmx,,-25.65,-48.87,38.05,14.49,35.65
,  EEbhk,42.19,-46.28,60.60,18.87,-26.59
,  EEqz,-94.22,-50.60,58.60,13.07,97.61
,  EEmz,-24.92,-49.74,-5.04,11.53,35.94
DDcy,,-1.93,39.72,-3.06,17.21,-25.72
,  EEcrv,38.08,80.49,-69.29,15.94,-31.88
,  EEbkv,-89.41,-49.18,-2.26,15.94,-22.00
,  EEmpy,45.55,87.84,62.38,19.74,-23.27
