DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt
DDcjx,,-77.20,-17.60,70.84,-48.64,22.96,24.41
,  EEdhv,-83.14,-28.04,61.47,-59.09,94.81,15.25
,  EEkqy,-74.59,-15.42,67.81,-46.97,-1.36,24.79
,  EEdfk,-69.69,-6.19,81.17,-42.17,-99.82,36.10
,  EEhq,-81.36,-20.74,72.92,-46.34,98.21,21.51
DDmx,,-82.44,-21.91,66.28,-52.86,70.14,18.94
,  EEmz,-79.19,-19.50,64.62,-51.08,-5.74,20.29
,  EEbhk,-85.23,-24.68,67.08,-54.84,96.18,17.17
,  EEksy,-79.70,-14.72,78.17,-46.17,99.65,30.98
,  EEqz,-85.64,-28.74,55.24,-59.34,90.46,7.32
DDcy,,-80.76,-19.37,68.85,-49.72,46.39,21.43
,  EEmpy,-81.41,-21.28,68.60,-48.12,97.39,17.35
,  EEbkv,-77.62,-18.40,65.80,-49.09,-4.10,21.62
,  EEcrv,-85.53,-27.45,60.94,-57.12,92.40,11.66
,  EEjvz,-78.49,-10.35,80.05,-44.53,-0.11,35.07
