Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,389.35
AAdk,BBtw,CCst,DDnw,12.11
AAdk,BBtw,CCbx,DDrz,909.97
AAdk,BBtw,CChv,DDcl,534.18
AAdk,BBtw,CCst,DDlp,153.14
AAdk,BBtw,CCbx,DDcs,797.2
AAdk,BBtw,CChv,DDhm,295.45
AAdk,BBtw,CCst,DDdf,40.87
AAdk,BBtw,CCbx,DDjn,428.67
AAdk,BBrv,CChv,DDnt,175.55
AAdk,BBrv,CCst,DDnw,303.05
AAdk,BBrv,CCbx,DDrz,689.06
AAdk,BBrv,CChv,DDcl,815.38
AAdk,BBrv,CCst,DDlp,185.61
AAdk,BBrv,CCbx,DDcs,954.78
AAdk,BBrv,CChv,DDhm,974.74
AAdk,BBrv,CCst,DDdf,592.1
AAdk,BBrv,CCbx,DDjn,470.33
AAdk,BBtw,CChv,DDnt,344.07
AAdk,BBtw,CCst,DDnw,857.16
AAdk,BBtw,CCbx,DDrz,355.98
AAdk,BBtw,CChv,DDcl,750.02
AAdk,BBtw,CCst,DDlp,879.36
AAdk,BBtw,CCbx,DDcs,240.9
AAdk,BBtw,CChv,DDhm,368.86
AAdk,BBtw,CCst,DDdf,246.31
AAdk,BBtw,CCbx,DDjn,124.56
