CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp
CChpx,DDlmr,-59.05,49.84,-42.05,41.28,-83.80,10.45,-13.66
,DDcmp,-60.27,45.52,-44.16,95.16,-80.83,8.53,-22.01
,DDdlz,-54.15,50.92,-33.71,99.80,-76.76,11.20,-12.82
CCfnw,DDqz,-60.26,46.29,-46.62,93.45,-91.23,7.25,-24.79
,DDgv,-55.65,49.91,-35.03,97.90,-78.09,11.35,-24.03
,DDkrs,-59.32,44.50,-40.41,39.46,-84.67,10.35,-17.21
CCbt,DDmx,-60.84,35.02,-41.99,89.10,-36.99,8.48,-18.04
,DDbmz,-59.54,47.99,-35.05,97.17,-79.75,10.76,-22.02
,DDcwz,-63.51,45.59,-48.96,89.42,-92.84,4.11,-25.06
Average,,-59.18,46.18,-40.89,82.53,-78.33,9.16,-19.96
