CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
Minimum,,18.07,63.24,5.65,81.08,27.12,48.27,12.58,,
,  ,18.07,63.24,5.65,81.08,27.12,48.27,12.58,,
CCcy,,18.07,64.06,6.07,82.04,34.95,50.36,13.34,,
,  DDmx,28.51,79.33,8.19,92.88,47.47,58.09,20.25,EEmz,FFgqt
,  DDhpt,26.53,72.82,9.16,92.06,43.98,57.13,18.69,EEmz,FFgqt
,  DDbkv,18.07,64.06,6.07,82.04,34.95,50.36,13.34,EEmz,FFgqt
CCbt,,21.30,63.24,5.65,81.08,27.12,48.27,12.58,,
,  DDmx,21.30,63.24,5.65,81.08,27.12,48.27,12.58,EEmz,FFgqt
,  DDbmz,26.26,74.19,9.50,92.41,43.67,58.68,19.54,EEmz,FFgqt
,  DDcwz,25.93,68.25,8.57,90.19,37.12,55.13,17.27,EEmz,FFgqt
