DD,EE,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,Average
DDcjx,EEhq,-24.36,27.01,67.26,86.40,-84.78,14.31
,EEdfk,-15.78,-97.61,-60.86,-36.86,-90.24,-60.27
,EEkqy,43.59,20.30,68.28,-42.75,-18.79,14.13
,EEdhv,-27.71,19.97,64.11,-48.56,41.25,9.81
DDcy,EEbkv,39.04,20.95,-62.91,20.43,-19.97,-0.49
,EEmpy,70.46,22.94,67.59,-47.46,-85.79,5.55
,EEcrv,99.86,16.86,-64.37,74.53,40.24,33.42
,EEjvz,-22.15,-99.68,70.98,-38.69,-87.68,-35.44
DDmx,EEmz,39.81,-47.25,-66.03,19.05,-24.28,-15.74
,EEbhk,-29.31,20.21,-62.42,81.00,-86.92,-15.49
,EEksy,-24.93,29.53,-63.20,-39.51,-84.86,-36.59
,EEqz,-29.82,9.47,63.68,77.91,39.41,32.13
