DD,EE,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt
DDcjx,EEdhv,-19.53,27.69,-60.95,84.62,-87.34,-73.02,11.24,-32.68
,EEhq,-12.74,-93.53,73.69,87.41,40.00,-64.71,16.05,-28.38
,EEkqy,-25.68,21.06,-61.29,-47.57,-92.15,-78.42,6.66,-38.27
DDcy,EEbkv,-26.47,-47.72,-63.33,76.25,37.52,-81.30,4.07,87.03
,EEcrv,-21.03,25.38,67.21,81.25,-89.95,-74.97,9.00,-34.47
,EEmpy,-12.17,-94.97,-55.86,-42.90,-88.35,-70.74,15.09,98.54
DDmx,EEqz,-24.77,25.65,68.97,82.31,-89.52,50.09,6.27,90.17
,EEbhk,-17.56,-98.07,72.68,85.99,42.92,-72.10,12.94,-32.33
,EEmz,-27.29,17.68,-0.09,73.12,36.87,-89.19,3.85,88.07
Average,,-20.80,-24.09,4.56,53.39,-32.22,-61.60,9.46,21.96
