CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,Minimum,EE,FF
CCkqy,,10.09,51.31,48.93,22.98,62.35,0.78,46.20,2.62,0.78,,
,  DDbsz,12.59,51.31,98.36,30.57,72.87,3.90,49.70,82.06,3.90,EEmz,FFlmr
,  DDbkv,14.60,56.16,48.93,39.94,75.72,8.33,52.97,83.55,8.33,EEmz,FFgqt
,  DDcwz,10.09,55.15,89.56,22.98,62.35,0.78,46.20,2.62,0.78,EEmz,FFgqt
CCcy,,7.21,48.57,48.04,19.54,63.02,1.03,41.73,71.82,1.03,,
,  DDbmz,10.48,57.70,93.48,30.62,71.58,3.11,48.79,71.82,3.11,EEmz,FFgqt
,  DDbkv,10.00,48.57,82.43,19.54,63.02,1.03,41.73,72.79,1.03,EEmz,FFlmr
,  DDmx,7.21,60.20,48.04,36.55,74.12,7.09,51.56,84.45,7.09,EEmz,FFlmr
CCbt,,6.19,53.05,86.94,18.54,62.28,0.19,40.76,74.37,0.19,,
,  DDmpy,13.21,59.85,98.44,32.88,72.83,6.49,48.39,82.04,6.49,EEmz,FFgqt
,  DDmx,9.71,53.05,86.94,18.54,62.28,0.19,40.76,74.37,0.19,EEmz,FFgqt
,  DDhpt,6.19,55.22,92.14,51.57,70.63,3.99,47.35,76.77,3.99,EEmz,FFlmr
