DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,Average
DDmx,,-6.80,49.32,-59.19,17.33,-43.42,1.38,-6.90
,  EEbhk,27.19,79.00,47.86,-39.34,-65.56,-16.41,5.46
,  EEhq,-96.61,-48.09,-79.70,-37.91,-61.63,-9.68,-55.60
,  EEkqy,17.21,71.48,-86.98,85.24,-71.23,-32.04,-2.72
,  EEmz,-0.38,68.70,-94.11,-9.32,52.16,93.96,18.50
,  EEcrv,18.60,75.50,-83.04,88.00,-70.82,-28.93,-0.12
DDcy,,-33.84,24.68,20.71,11.45,-16.32,-21.60,-2.49
,  EEmz,-96.52,-46.80,51.00,-37.17,-60.43,-3.74,-32.28
,  EEbkv,9.10,70.61,-88.31,-44.78,-73.91,-34.65,-26.99
,  EEdhv,-0.01,-52.93,47.04,89.36,-69.30,-24.01,-1.64
,  EEmpy,-99.81,79.56,49.36,-37.34,63.30,-14.61,6.74
,  EEqz,18.02,72.94,44.47,87.16,58.73,-30.97,41.73
