CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,Average
CCfnw,,-55.64,70.59,11.89,62.43,-37.50,-14.22,40.46,-76.06,0.24
,  DDkrs,-55.08,72.69,12.52,-4.26,-34.96,-12.84,41.73,-77.55,-7.22
,  DDgv,-52.38,73.95,13.93,97.58,-35.58,-13.58,40.76,-71.36,6.66
,  DDqz,-59.47,65.15,9.21,93.96,-41.95,-16.24,38.88,-79.27,1.28
CChpx,,-53.29,72.74,14.53,64.19,-32.72,-13.72,42.36,-74.55,2.44
,  DDlmr,-55.39,73.64,13.92,0.92,-33.72,-11.29,43.30,-74.76,-5.42
,  DDdlz,-49.22,74.61,17.75,98.72,-26.02,-12.44,43.94,-70.28,9.63
,  DDcmp,-55.25,69.97,11.92,92.93,-38.42,-17.42,39.85,-78.62,3.12
CCbt,,-57.63,68.91,10.68,73.61,-38.80,-16.35,37.47,-78.90,-0.13
,  DDbmz,-54.09,72.07,12.08,96.76,-35.46,-15.94,40.36,-76.41,4.92
,  DDmx,-56.59,68.44,11.02,31.84,-34.39,-16.06,39.17,-78.23,-4.35
,  DDcwz,-62.22,66.23,8.94,92.22,-46.55,-17.05,32.88,-82.07,-0.95
Average,,-55.52,70.75,12.37,66.74,-36.34,-14.76,40.10,-76.51,0.85
,  ,-55.52,70.75,12.37,66.74,-36.34,-14.76,40.10,-76.51,0.85
