Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,764.83
AAdk,BBtw,CCst,DDnw,356.86
AAdk,BBtw,CCbx,DDrz,196.14
AAdk,BBtw,CChv,DDcl,520.17
AAdk,BBtw,CCst,DDlp,727.15
AAdk,BBtw,CCbx,DDcs,203.08
AAdk,BBrv,CChv,DDnt,779.32
AAdk,BBrv,CCst,DDnw,365.18
AAdk,BBrv,CCbx,DDrz,298.53
AAdk,BBrv,CChv,DDcl,527.95
AAdk,BBrv,CCst,DDlp,752.91
AAdk,BBrv,CCbx,DDcs,51.21
AAdk,BBtw,CChv,DDnt,788.5
AAdk,BBtw,CCst,DDnw,149.99
AAdk,BBtw,CCbx,DDrz,534.69
AAdk,BBtw,CChv,DDcl,119.32
AAdk,BBtw,CCst,DDlp,538.99
AAdk,BBtw,CCbx,DDcs,476.45
