CC,DD,AAfnw_BBkrs,AAfnw_BBgv,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,EE,FF
Minimum,,25.28,90.16,61.75,78.74,46.40,0.41,,
,  ,25.28,90.16,61.75,78.74,46.40,0.41,,
CCbt,,25.28,90.16,61.75,78.74,46.40,0.41,,
,  DDbmz,41.38,94.36,75.07,88.26,55.58,9.58,EEmz,FFlmr
,  DDcwz,40.89,94.66,67.34,80.98,49.63,7.73,EEmz,FFbpv
,  DDmx,25.28,90.16,61.75,78.74,46.40,0.41,EEmz,FFgqt
CCcy,,35.80,92.38,65.27,79.58,49.76,6.93,,
,  DDbkv,35.80,92.38,65.27,79.58,49.76,6.93,EEhpx,FFlmr
,  DDhpt,41.33,95.51,68.55,79.61,52.20,8.59,EEhpx,FFgqt
,  DDmx,41.12,98.12,77.83,89.82,60.20,8.61,EEhpx,FFbpv
