DD,EE,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt
Average,,-14.65,45.38,-85.63,77.71,11.05,-46.32
,  ,-14.65,45.38,-85.63,77.71,11.05,-46.32
DDmx,,-16.33,43.14,-87.37,83.85,9.66,-48.66
,  EEqz,-20.57,34.84,-91.92,77.19,4.85,-53.00
,  EEksy,-10.55,52.36,-82.08,92.52,14.15,-42.14
,  EEmz,-18.76,45.23,-87.65,81.30,9.87,-52.66
,  EEbhk,-15.45,40.11,-87.83,84.40,9.76,-46.84
DDcjx,,-13.18,47.64,-83.19,63.42,13.64,-42.87
,  EEdhv,-15.65,36.81,-88.56,83.49,8.56,-48.52
,  EEdfk,-8.60,58.05,-75.68,94.17,18.70,-37.19
,  EEkqy,-14.08,47.83,-83.53,-15.57,13.42,-42.99
,  EEhq,-14.40,47.87,-85.00,91.59,13.87,-42.76
DDcy,,-14.44,45.35,-86.33,85.86,9.85,-47.45
,  EEmpy,-13.78,41.30,-89.46,85.12,10.29,-46.95
,  EEcrv,-17.94,36.28,-89.12,79.51,1.05,-52.14
,  EEbkv,-16.89,46.36,-85.62,83.94,11.88,-49.75
,  EEjvz,-9.14,57.47,-81.11,94.88,16.19,-40.95
