AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,0.72
AApqr,BBnqx,CCbt,DDcy,EEbkv,1.41
AApqr,BBnqx,CCbt,DDmx,EEkqy,2.4
AApqr,BBnqx,CCbt,DDcy,EEqz,1.06
AApqr,BBnqx,CCbt,DDmx,EEcrv,1.47
AApqr,BBnqx,CCbt,DDcy,EEdhv,2.54
AAgqt,BBfnw,CCkrs,DDmx,EEmz,1.24
AAgqt,BBfnw,CCkrs,DDcy,EEbkv,7.76
AAgqt,BBfnw,CCkrs,DDmx,EEkqy,2.25
AAgqt,BBfnw,CCkrs,DDcy,EEqz,9.01
AAgqt,BBfnw,CCkrs,DDmx,EEcrv,9.99
AAgqt,BBfnw,CCkrs,DDcy,EEdhv,8.68
AApqr,BBlmr,CCcqx,DDmx,EEmz,12.38
AApqr,BBlmr,CCcqx,DDcy,EEbkv,12.91
AApqr,BBlmr,CCcqx,DDmx,EEkqy,14.32
AApqr,BBlmr,CCcqx,DDcy,EEqz,8.61
AApqr,BBlmr,CCcqx,DDmx,EEcrv,14.06
AApqr,BBlmr,CCcqx,DDcy,EEdhv,8.31
AAgqt,BBnqx,CCbpv,DDmx,EEmz,18.67
AAgqt,BBnqx,CCbpv,DDcy,EEbkv,18.84
AAgqt,BBnqx,CCbpv,DDmx,EEkqy,19.74
AAgqt,BBnqx,CCbpv,DDcy,EEqz,19.75
AAgqt,BBnqx,CCbpv,DDmx,EEcrv,22.51
AAgqt,BBnqx,CCbpv,DDcy,EEdhv,22.37
AApqr,BBfnw,CCprw,DDmx,EEmz,24.56
AApqr,BBfnw,CCprw,DDcy,EEbkv,25.83
AApqr,BBfnw,CCprw,DDmx,EEkqy,24.98
AApqr,BBfnw,CCprw,DDcy,EEqz,27.36
AApqr,BBfnw,CCprw,DDmx,EEcrv,21.92
AApqr,BBfnw,CCprw,DDcy,EEdhv,5.73
AAgqt,BBlmr,CCbmz,DDmx,EEmz,26.48
AAgqt,BBlmr,CCbmz,DDcy,EEbkv,8.57
AAgqt,BBlmr,CCbmz,DDmx,EEkqy,11.46
AAgqt,BBlmr,CCbmz,DDcy,EEqz,11.57
AAgqt,BBlmr,CCbmz,DDmx,EEcrv,0.1
AAgqt,BBlmr,CCbmz,DDcy,EEdhv,1.46
AApqr,BBnqx,CCgjm,DDmx,EEmz,18.22
AApqr,BBnqx,CCgjm,DDcy,EEbkv,6.28
AApqr,BBnqx,CCgjm,DDmx,EEkqy,7.79
AApqr,BBnqx,CCgjm,DDcy,EEqz,7.55
AApqr,BBnqx,CCgjm,DDmx,EEcrv,21.56
AApqr,BBnqx,CCgjm,DDcy,EEdhv,3.73
